,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Inn,Runs,Sixes,Day,Month
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Jos Buttler,Rajasthan,5,5,272,18,14,4
1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,Shimron Hetmyer,Rajasthan,5,5,197,15,14,4
2,2,2.0,2.0,2.0,2.0,2.0,2.0,3,Shivam Dube,Chennai,5,5,207,13,14,4
3,3,3.0,3.0,3.0,3.0,3.0,3.0,4,Robin Uthappa,Chennai,5,5,194,12,14,4
4,4,4.0,4.0,4.0,4.0,4.0,4.0,5,Liam Livingstone,Punjab,5,5,164,12,14,4
5,5,5.0,5.0,5.0,5.0,5.0,5.0,6,Suryakumar Yadav,Mumbai,3,3,163,12,14,4
6,6,6.0,6.0,6.0,6.0,6.0,6.0,7,Andre Russell,Kolkata,5,4,130,12,14,4
7,7,7.0,7.0,7.0,7.0,7.0,7.0,8,Sanju Samson,Rajasthan,5,5,117,10,14,4
8,8,8.0,8.0,8.0,8.0,8.0,8.0,9,Tilak Varma,Mumbai,5,5,157,9,14,4
9,9,9.0,9.0,9.0,9.0,9.0,9.0,10,Dinesh Karthik,Bangalore,5,5,131,9,14,4
10,10,10.0,10.0,10.0,10.0,10.0,10.0,11,Bhanuka Rajapaksa,Punjab,3,3,83,8,14,4
11,11,11.0,11.0,11.0,11.0,11.0,11.0,12,Faf du Plessis,Bangalore,5,5,146,7,14,4
12,12,12.0,12.0,12.0,12.0,12.0,12.0,13,Anuj Rawat,Bangalore,5,5,125,7,14,4
13,13,13.0,13.0,13.0,13.0,13.0,13.0,14,Dewald Brevis,Mumbai,3,3,86,7,14,4
14,14,14.0,14.0,14.0,14.0,14.0,14.0,15,Jitesh Sharma,Punjab,3,3,79,7,14,4
15,15,15.0,15.0,15.0,15.0,15.0,15.0,16,Hardik Pandya,Gujarat,5,5,228,6,14,4
16,16,16.0,16.0,16.0,16.0,16.0,16.0,17,Shikhar Dhawan,Punjab,5,5,197,6,14,4
17,17,17.0,17.0,17.0,17.0,17.0,17.0,18,Prithvi Shaw,Delhi,4,4,160,6,14,4
18,18,18.0,18.0,18.0,18.0,18.0,18.0,19,Deepak Hooda,Lucknow,5,5,155,6,14,4
19,19,19.0,19.0,19.0,19.0,19.0,19.0,20,Shahbaz Ahmed,Bangalore,5,3,113,6,14,4
20,20,20.0,20.0,20.0,20.0,20.0,20.0,21,Rohit Sharma,Mumbai,5,5,108,6,14,4
21,21,21.0,21.0,21.0,21.0,21.0,21.0,22,Ayush Badoni,Lucknow,5,5,107,6,14,4
22,22,22.0,22.0,22.0,22.0,22.0,22.0,23,Kane Williamson,Hyderabad,4,4,107,6,14,4
23,23,23.0,23.0,23.0,23.0,23.0,23.0,24,Sam Billings,Kolkata,5,5,95,6,14,4
24,24,24.0,24.0,24.0,24.0,24.0,24.0,25,Nitish Rana,Kolkata,5,5,69,6,14,4
25,25,25.0,25.0,25.0,25.0,25.0,0.0,1,Jos Buttler,Rajasthan,5,5,272,18,15,4
26,26,26.0,26.0,26.0,26.0,26.0,1.0,2,Andre Russell,Kolkata,6,5,179,16,15,4
27,27,27.0,27.0,27.0,27.0,27.0,2.0,3,Shimron Hetmyer,Rajasthan,5,5,197,15,15,4
28,28,28.0,28.0,28.0,28.0,28.0,3.0,4,Shivam Dube,Chennai,5,5,207,13,15,4
29,29,29.0,29.0,29.0,29.0,29.0,4.0,5,Robin Uthappa,Chennai,5,5,194,12,15,4
30,30,30.0,30.0,30.0,30.0,30.0,5.0,6,Liam Livingstone,Punjab,5,5,164,12,15,4
31,31,31.0,31.0,31.0,31.0,31.0,6.0,7,Suryakumar Yadav,Mumbai,3,3,163,12,15,4
32,32,32.0,32.0,32.0,32.0,32.0,7.0,8,Rahul Tripathi,Hyderabad,5,5,171,10,15,4
33,33,33.0,33.0,33.0,33.0,33.0,8.0,9,Sanju Samson,Rajasthan,5,5,117,10,15,4
34,34,34.0,34.0,34.0,34.0,34.0,9.0,10,Tilak Varma,Mumbai,5,5,157,9,15,4
35,35,35.0,35.0,35.0,35.0,35.0,10.0,11,Dinesh Karthik,Bangalore,5,5,131,9,15,4
36,36,36.0,36.0,36.0,36.0,36.0,11.0,12,Nitish Rana,Kolkata,6,6,123,8,15,4
37,37,37.0,37.0,37.0,37.0,37.0,12.0,13,Bhanuka Rajapaksa,Punjab,3,3,83,8,15,4
38,38,38.0,38.0,38.0,38.0,38.0,13.0,14,Faf du Plessis,Bangalore,5,5,146,7,15,4
39,39,39.0,39.0,39.0,39.0,39.0,14.0,15,Anuj Rawat,Bangalore,5,5,125,7,15,4
40,40,40.0,40.0,40.0,40.0,40.0,15.0,16,Dewald Brevis,Mumbai,3,3,86,7,15,4
41,41,41.0,41.0,41.0,41.0,41.0,16.0,17,Jitesh Sharma,Punjab,3,3,79,7,15,4
42,42,42.0,42.0,42.0,42.0,42.0,17.0,18,Hardik Pandya,Gujarat,5,5,228,6,15,4
43,43,43.0,43.0,43.0,43.0,43.0,18.0,19,Shikhar Dhawan,Punjab,5,5,197,6,15,4
44,44,44.0,44.0,44.0,44.0,44.0,19.0,20,Prithvi Shaw,Delhi,4,4,160,6,15,4
45,45,45.0,45.0,45.0,45.0,45.0,20.0,21,Deepak Hooda,Lucknow,5,5,155,6,15,4
46,46,46.0,46.0,46.0,46.0,46.0,21.0,22,Aiden Markram,Hyderabad,5,4,149,6,15,4
47,47,47.0,47.0,47.0,47.0,47.0,22.0,23,Kane Williamson,Hyderabad,5,5,124,6,15,4
48,48,48.0,48.0,48.0,48.0,48.0,23.0,24,Shahbaz Ahmed,Bangalore,5,3,113,6,15,4
49,49,49.0,49.0,49.0,49.0,49.0,24.0,25,Rohit Sharma,Mumbai,5,5,108,6,15,4
50,50,50.0,50.0,50.0,50.0,0.0,,1,Jos Buttler,Rajasthan,5,5,272,18,16,4
51,51,51.0,51.0,51.0,51.0,1.0,,2,Andre Russell,Kolkata,6,5,179,16,16,4
52,52,52.0,52.0,52.0,52.0,2.0,,3,Shimron Hetmyer,Rajasthan,5,5,197,15,16,4
53,53,53.0,53.0,53.0,53.0,3.0,,4,Dinesh Karthik,Bangalore,6,6,197,14,16,4
54,54,54.0,54.0,54.0,54.0,4.0,,5,Shivam Dube,Chennai,5,5,207,13,16,4
55,55,55.0,55.0,55.0,55.0,5.0,,6,Suryakumar Yadav,Mumbai,4,4,200,12,16,4
56,56,56.0,56.0,56.0,56.0,6.0,,7,Robin Uthappa,Chennai,5,5,194,12,16,4
57,57,57.0,57.0,57.0,57.0,7.0,,8,Liam Livingstone,Punjab,5,5,164,12,16,4
58,58,58.0,58.0,58.0,58.0,8.0,,9,Lokesh Rahul,Lucknow,6,6,235,10,16,4
59,59,59.0,59.0,59.0,59.0,9.0,,10,Rahul Tripathi,Hyderabad,5,5,171,10,16,4
60,60,60.0,60.0,60.0,60.0,10.0,,11,Sanju Samson,Rajasthan,5,5,117,10,16,4
61,61,61.0,61.0,61.0,61.0,11.0,,12,Tilak Varma,Mumbai,6,6,183,9,16,4
62,62,62.0,62.0,62.0,62.0,12.0,,13,Nitish Rana,Kolkata,6,6,123,8,16,4
63,63,63.0,63.0,63.0,63.0,13.0,,14,Dewald Brevis,Mumbai,4,4,117,8,16,4
64,64,64.0,64.0,64.0,64.0,14.0,,15,Bhanuka Rajapaksa,Punjab,3,3,83,8,16,4
65,65,65.0,65.0,65.0,65.0,15.0,,16,Prithvi Shaw,Delhi,5,5,176,7,16,4
66,66,66.0,66.0,66.0,66.0,16.0,,17,Deepak Hooda,Lucknow,6,6,170,7,16,4
67,67,67.0,67.0,67.0,67.0,17.0,,18,Faf du Plessis,Bangalore,6,6,154,7,16,4
68,68,68.0,68.0,68.0,68.0,18.0,,19,Shahbaz Ahmed,Bangalore,6,4,145,7,16,4
69,69,69.0,69.0,69.0,69.0,19.0,,20,David Warner,Delhi,3,3,131,7,16,4
70,70,70.0,70.0,70.0,70.0,20.0,,21,Anuj Rawat,Bangalore,6,6,125,7,16,4
71,71,71.0,71.0,71.0,71.0,21.0,,22,Jitesh Sharma,Punjab,3,3,79,7,16,4
72,72,72.0,72.0,72.0,72.0,22.0,,23,Hardik Pandya,Gujarat,5,5,228,6,16,4
73,73,73.0,73.0,73.0,73.0,23.0,,24,Shikhar Dhawan,Punjab,5,5,197,6,16,4
74,74,74.0,74.0,74.0,74.0,24.0,,25,Aiden Markram,Hyderabad,5,4,149,6,16,4
75,75,75.0,75.0,75.0,0.0,,,1,Jos Buttler,Rajasthan,5,5,272,18,17,4
76,76,76.0,76.0,76.0,1.0,,,2,Liam Livingstone,Punjab,6,6,224,16,17,4
77,77,77.0,77.0,77.0,2.0,,,3,Andre Russell,Kolkata,6,5,179,16,17,4
78,78,78.0,78.0,78.0,3.0,,,4,Shimron Hetmyer,Rajasthan,5,5,197,15,17,4
79,79,79.0,79.0,79.0,4.0,,,5,Dinesh Karthik,Bangalore,6,6,197,14,17,4
80,80,80.0,80.0,80.0,5.0,,,6,Shivam Dube,Chennai,6,6,226,13,17,4
81,81,81.0,81.0,81.0,6.0,,,7,Suryakumar Yadav,Mumbai,4,4,200,12,17,4
82,82,82.0,82.0,82.0,7.0,,,8,Robin Uthappa,Chennai,6,6,197,12,17,4
83,83,83.0,83.0,83.0,8.0,,,9,Rahul Tripathi,Hyderabad,6,6,205,11,17,4
84,84,84.0,84.0,84.0,9.0,,,10,Lokesh Rahul,Lucknow,6,6,235,10,17,4
85,85,85.0,85.0,85.0,10.0,,,11,Sanju Samson,Rajasthan,5,5,117,10,17,4
86,86,86.0,86.0,86.0,11.0,,,12,David Miller,Gujarat,6,6,193,9,17,4
87,87,87.0,87.0,87.0,12.0,,,13,Tilak Varma,Mumbai,6,6,183,9,17,4
88,88,88.0,88.0,88.0,13.0,,,14,Nitish Rana,Kolkata,6,6,123,8,17,4
89,89,89.0,89.0,89.0,14.0,,,15,Dewald Brevis,Mumbai,4,4,117,8,17,4
90,90,90.0,90.0,90.0,15.0,,,16,Shahrukh Khan,Punjab,6,6,86,8,17,4
91,91,91.0,91.0,91.0,16.0,,,17,Bhanuka Rajapaksa,Punjab,3,3,83,8,17,4
92,92,92.0,92.0,92.0,17.0,,,18,Aiden Markram,Hyderabad,6,5,190,7,17,4
93,93,93.0,93.0,93.0,18.0,,,19,Prithvi Shaw,Delhi,5,5,176,7,17,4
94,94,94.0,94.0,94.0,19.0,,,20,Deepak Hooda,Lucknow,6,6,170,7,17,4
95,95,95.0,95.0,95.0,20.0,,,21,Faf du Plessis,Bangalore,6,6,154,7,17,4
96,96,96.0,96.0,96.0,21.0,,,22,Shahbaz Ahmed,Bangalore,6,4,145,7,17,4
97,97,97.0,97.0,97.0,22.0,,,23,David Warner,Delhi,3,3,131,7,17,4
98,98,98.0,98.0,98.0,23.0,,,24,Anuj Rawat,Bangalore,6,6,125,7,17,4
99,99,99.0,99.0,99.0,24.0,,,25,Jitesh Sharma,Punjab,4,4,90,7,17,4
100,100,100.0,100.0,0.0,,,,1,Jos Buttler,Rajasthan,6,6,375,23,18,4
101,101,101.0,101.0,1.0,,,,2,Shimron Hetmyer,Rajasthan,6,6,223,17,18,4
102,102,102.0,102.0,2.0,,,,3,Liam Livingstone,Punjab,6,6,224,16,18,4
103,103,103.0,103.0,3.0,,,,4,Andre Russell,Kolkata,7,6,179,16,18,4
104,104,104.0,104.0,4.0,,,,5,Dinesh Karthik,Bangalore,6,6,197,14,18,4
105,105,105.0,105.0,5.0,,,,6,Shivam Dube,Chennai,6,6,226,13,18,4
106,106,106.0,106.0,6.0,,,,7,Suryakumar Yadav,Mumbai,4,4,200,12,18,4
107,107,107.0,107.0,7.0,,,,8,Robin Uthappa,Chennai,6,6,197,12,18,4
108,108,108.0,108.0,8.0,,,,9,Sanju Samson,Rajasthan,6,6,155,12,18,4
109,109,109.0,109.0,9.0,,,,10,Rahul Tripathi,Hyderabad,6,6,205,11,18,4
110,110,110.0,110.0,10.0,,,,11,Lokesh Rahul,Lucknow,6,6,235,10,18,4
111,111,111.0,111.0,11.0,,,,12,David Miller,Gujarat,6,6,193,9,18,4
112,112,112.0,112.0,12.0,,,,13,Tilak Varma,Mumbai,6,6,183,9,18,4
113,113,113.0,113.0,13.0,,,,14,Nitish Rana,Kolkata,7,7,141,9,18,4
114,114,114.0,114.0,14.0,,,,15,Dewald Brevis,Mumbai,4,4,117,8,18,4
115,115,115.0,115.0,15.0,,,,16,Shahrukh Khan,Punjab,6,6,86,8,18,4
116,116,116.0,116.0,16.0,,,,17,Bhanuka Rajapaksa,Punjab,3,3,83,8,18,4
117,117,117.0,117.0,17.0,,,,18,Aiden Markram,Hyderabad,6,5,190,7,18,4
118,118,118.0,118.0,18.0,,,,19,Prithvi Shaw,Delhi,5,5,176,7,18,4
119,119,119.0,119.0,19.0,,,,20,Deepak Hooda,Lucknow,6,6,170,7,18,4
120,120,120.0,120.0,20.0,,,,21,Faf du Plessis,Bangalore,6,6,154,7,18,4
121,121,121.0,121.0,21.0,,,,22,Shahbaz Ahmed,Bangalore,6,4,145,7,18,4
122,122,122.0,122.0,22.0,,,,23,David Warner,Delhi,3,3,131,7,18,4
123,123,123.0,123.0,23.0,,,,24,Anuj Rawat,Bangalore,6,6,125,7,18,4
124,124,124.0,124.0,24.0,,,,25,Jitesh Sharma,Punjab,4,4,90,7,18,4
125,125,125.0,0.0,,,,,1,Jos Buttler,Rajasthan,6,6,375,23,19,4
126,126,126.0,1.0,,,,,2,Shimron Hetmyer,Rajasthan,6,6,223,17,19,4
127,127,127.0,2.0,,,,,3,Liam Livingstone,Punjab,6,6,224,16,19,4
128,128,128.0,3.0,,,,,4,Andre Russell,Kolkata,7,6,179,16,19,4
129,129,129.0,4.0,,,,,5,Dinesh Karthik,Bangalore,7,7,210,15,19,4
130,130,130.0,5.0,,,,,6,Shivam Dube,Chennai,6,6,226,13,19,4
131,131,131.0,6.0,,,,,7,Suryakumar Yadav,Mumbai,4,4,200,12,19,4
132,132,132.0,7.0,,,,,8,Robin Uthappa,Chennai,6,6,197,12,19,4
133,133,133.0,8.0,,,,,9,Sanju Samson,Rajasthan,6,6,155,12,19,4
134,134,134.0,9.0,,,,,10,Lokesh Rahul,Lucknow,7,7,265,11,19,4
135,135,135.0,10.0,,,,,11,Rahul Tripathi,Hyderabad,6,6,205,11,19,4
136,136,136.0,11.0,,,,,12,Faf du Plessis,Bangalore,7,7,250,9,19,4
137,137,137.0,12.0,,,,,13,David Miller,Gujarat,6,6,193,9,19,4
138,138,138.0,13.0,,,,,14,Tilak Varma,Mumbai,6,6,183,9,19,4
139,139,139.0,14.0,,,,,15,Nitish Rana,Kolkata,7,7,141,9,19,4
140,140,140.0,15.0,,,,,16,Dewald Brevis,Mumbai,4,4,117,8,19,4
141,141,141.0,16.0,,,,,17,Shahrukh Khan,Punjab,6,6,86,8,19,4
142,142,142.0,17.0,,,,,18,Bhanuka Rajapaksa,Punjab,3,3,83,8,19,4
143,143,143.0,18.0,,,,,19,Aiden Markram,Hyderabad,6,5,190,7,19,4
144,144,144.0,19.0,,,,,20,Deepak Hooda,Lucknow,7,7,183,7,19,4
145,145,145.0,20.0,,,,,21,Prithvi Shaw,Delhi,5,5,176,7,19,4
146,146,146.0,21.0,,,,,22,Shahbaz Ahmed,Bangalore,7,5,171,7,19,4
147,147,147.0,22.0,,,,,23,David Warner,Delhi,3,3,131,7,19,4
148,148,148.0,23.0,,,,,24,Anuj Rawat,Bangalore,7,7,129,7,19,4
149,149,149.0,24.0,,,,,25,Jitesh Sharma,Punjab,4,4,90,7,19,4
150,150,0.0,,,,,,1,Jos Buttler,Rajasthan,6,6,375,23,20,4
151,151,1.0,,,,,,2,Shimron Hetmyer,Rajasthan,6,6,223,17,20,4
152,152,2.0,,,,,,3,Liam Livingstone,Punjab,7,7,226,16,20,4
153,153,3.0,,,,,,4,Andre Russell,Kolkata,7,6,179,16,20,4
154,154,4.0,,,,,,5,Dinesh Karthik,Bangalore,7,7,210,15,20,4
155,155,5.0,,,,,,6,Shivam Dube,Chennai,6,6,226,13,20,4
156,156,6.0,,,,,,7,Suryakumar Yadav,Mumbai,4,4,200,12,20,4
157,157,7.0,,,,,,8,Robin Uthappa,Chennai,6,6,197,12,20,4
158,158,8.0,,,,,,9,Sanju Samson,Rajasthan,6,6,155,12,20,4
159,159,9.0,,,,,,10,Lokesh Rahul,Lucknow,7,7,265,11,20,4
160,160,10.0,,,,,,11,Rahul Tripathi,Hyderabad,6,6,205,11,20,4
161,161,11.0,,,,,,12,Faf du Plessis,Bangalore,7,7,250,9,20,4
162,162,12.0,,,,,,13,David Miller,Gujarat,6,6,193,9,20,4
163,163,13.0,,,,,,14,Tilak Varma,Mumbai,6,6,183,9,20,4
164,164,14.0,,,,,,15,Nitish Rana,Kolkata,7,7,141,9,20,4
165,165,15.0,,,,,,16,Prithvi Shaw,Delhi,6,6,217,8,20,4
166,166,16.0,,,,,,17,David Warner,Delhi,4,4,191,8,20,4
167,167,17.0,,,,,,18,Dewald Brevis,Mumbai,4,4,117,8,20,4
168,168,18.0,,,,,,19,Shahrukh Khan,Punjab,7,7,98,8,20,4
169,169,19.0,,,,,,20,Bhanuka Rajapaksa,Punjab,3,3,83,8,20,4
170,170,20.0,,,,,,21,Aiden Markram,Hyderabad,6,5,190,7,20,4
171,171,21.0,,,,,,22,Deepak Hooda,Lucknow,7,7,183,7,20,4
172,172,22.0,,,,,,23,Shahbaz Ahmed,Bangalore,7,5,171,7,20,4
173,173,23.0,,,,,,24,Anuj Rawat,Bangalore,7,7,129,7,20,4
174,174,24.0,,,,,,25,Jitesh Sharma,Punjab,5,5,122,7,20,4
175,0,,,,,,,1,Jos Buttler,Rajasthan,6,6,375,23,21,4
176,1,,,,,,,2,Shimron Hetmyer,Rajasthan,6,6,223,17,21,4
177,2,,,,,,,3,Liam Livingstone,Punjab,7,7,226,16,21,4
178,3,,,,,,,4,Andre Russell,Kolkata,7,6,179,16,21,4
179,4,,,,,,,5,Dinesh Karthik,Bangalore,7,7,210,15,21,4
180,5,,,,,,,6,Shivam Dube,Chennai,7,7,239,14,21,4
181,6,,,,,,,7,Robin Uthappa,Chennai,7,7,227,14,21,4
182,7,,,,,,,8,Suryakumar Yadav,Mumbai,5,5,232,13,21,4
183,8,,,,,,,9,Sanju Samson,Rajasthan,6,6,155,12,21,4
184,9,,,,,,,10,Lokesh Rahul,Lucknow,7,7,265,11,21,4
185,10,,,,,,,11,Tilak Varma,Mumbai,7,7,234,11,21,4
186,11,,,,,,,12,Rahul Tripathi,Hyderabad,6,6,205,11,21,4
187,12,,,,,,,13,Faf du Plessis,Bangalore,7,7,250,9,21,4
188,13,,,,,,,14,David Miller,Gujarat,6,6,193,9,21,4
189,14,,,,,,,15,Nitish Rana,Kolkata,7,7,141,9,21,4
190,15,,,,,,,16,Prithvi Shaw,Delhi,6,6,217,8,21,4
191,16,,,,,,,17,David Warner,Delhi,4,4,191,8,21,4
192,17,,,,,,,18,Ambati Rayudu,Chennai,7,6,168,8,21,4
193,18,,,,,,,19,Dewald Brevis,Mumbai,5,5,121,8,21,4
194,19,,,,,,,20,Shahrukh Khan,Punjab,7,7,98,8,21,4
195,20,,,,,,,21,Bhanuka Rajapaksa,Punjab,3,3,83,8,21,4
196,21,,,,,,,22,Aiden Markram,Hyderabad,6,5,190,7,21,4
197,22,,,,,,,23,Deepak Hooda,Lucknow,7,7,183,7,21,4
198,23,,,,,,,24,Shahbaz Ahmed,Bangalore,7,5,171,7,21,4
199,24,,,,,,,25,Anuj Rawat,Bangalore,7,7,129,7,21,4
